ID;Приоритет;Статус;Компонент;Проблема;Источник;Влияние;Рекомендация;Проверка NX 2512;Результат повторной проверки;Комментарий повторной проверки
MENU-001;P2;Подтверждено конфигурацией;MenuScript;Generate имеет label «Сформировать или обновить», хотя Generate/Update заявлены отдельно.;startup/nx_eskd.men:18-24;Пользователь не понимает различие, которого код всё равно не реализует.;После разделения preconditions переименовать Generate в «Создать управляемый чертёж».;Нет;Исправлено статически;Generate и Update получили различимые подписи MenuScript.
BUILD-001;P1;Подтверждено кодом;build.ps1;Join-Path вызывается с потенциально null Root/UGII_BASE_DIR до фильтрации.;scripts/build.ps1:15-22;Вместо понятной ошибки возможна ранняя PowerShell-ошибка.;Формировать roots только из непустых значений.;Нет;Исправлено статически;Корни фильтруются до Join-Path.
BUILD-002;P1;Подтверждено кодом;build.ps1;Не проверяется соответствие NXOpen.dll и NXOpen.UF.dll ожидаемой установке/MR.;scripts/build.ps1:23-39;Случайная сборка против другой NX.;"Печатать и сверять assembly/file versions; сохранять в build manifest; final check на рабочей станции.";Нет;Частично исправлено;Версии DLL читаются, но не доказывается принадлежность именно NX 2512/MR и совместимость пары по product version.
BUILD-003;P1;Подтверждено кодом;build.ps1;Smoke tests не запускаются до упаковки.;scripts/build.ps1;В пакет попадает заведомо некорректная конфигурация/Core.;Обязательный test gate с -SkipTests только для диагностики.;Нет;Исправлено статически;Smoke tests запускаются до упаковки, если не указан -SkipTests.
BUILD-004;P1;Подтверждено кодом;build.ps1;custom_dirs.dat внутри пакета содержит абсолютный путь staging/build machine.;scripts/build.ps1:74-75;Путь недействителен после переноса и раскрывает локальную структуру.;"Не включать такой файл; installer управляет пользовательским custom_dirs.dat.";Нет;Исправлено статически;custom_dirs.dat больше не содержит абсолютный staging-путь в пакете.
BUILD-005;P2;Подтверждено кодом;build.ps1;Версия zip захардкожена отдельно от BuildInfo.;"scripts/build.ps1:87-90; BuildInfo.cs";Рассинхронизация версии артефакта и runtime.;"Один Version.props/BuildInfo generator; zip SHA256.";Нет;Исправлено статически;Имя архива берёт версию из BuildInfo.
INSTALL-001;P0;Подтверждено кодом;install.ps1;Текущая установка удаляется до staging/полной валидации нового пакета.;scripts/install.ps1:17-24;Сбой копирования оставит неработающую установку.;"Validate → stage → backup → swap; lock и install-state.";Нет;Исправлено статически;"Новый пакет копируется и проверяется в staging; старая установка временно переименовывается и автоматически восстанавливается при ошибке."
INSTALL-002;P0;Подтверждено кодом;install.ps1;Если PackagePath совпадёт с InstallRoot, скрипт может удалить собственный источник.;scripts/install.ps1:9-24;Полная потеря текущего пакета.;Явно запрещать совпадение путей.;Нет;Исправлено статически;Запрещены одинаковые и вложенные PackagePath/InstallRoot с case-insensitive нормализацией.
INSTALL-003;P1;Подтверждено кодом;install.ps1;SupportsShouldProcess объявлен, но ShouldProcess не вызывается.;scripts/install.ps1:1;-WhatIf/confirmation не защищают destructive operations.;Использовать ShouldProcess вокруг swap/env/custom file.;Нет;Исправлено статически;ShouldProcess реально вызывается.
INSTALL-004;P1;Подтверждено кодом;install.ps1;Manifest пакета не проверяется перед установкой.;scripts/install.ps1;Повреждённый/подменённый файл устанавливается.;"Проверять все hashes; запрещать NXOpen.dll в пакете.";Нет;Исправлено статически;"Manifest проверяется по пути, размеру и SHA-256; пути не могут выйти из PackagePath."
INSTALL-005;P1;Подтверждено кодом;install.ps1;custom_dirs.dat изменяется неатомарно и сравнивается без нормализации пути.;scripts/install.ps1:36-50;Повреждение файла/дубликаты разного регистра и slash.;Нормализовать, temp+replace, backup, file lock.;Нет;Исправлено статически;custom_dirs.dat обновляется через временный файл, пути сравниваются нормализованно и без учёта регистра.
INSTALL-006;P1;Подтверждено кодом;uninstall.ps1;Удаление всегда очищает NX_ESKD_ROOT и не восстанавливает предыдущее значение.;scripts/uninstall.ps1:14;Повреждение пользовательской среды при предыдущей кастомной настройке.;Хранить install-state и восстанавливать только значение, установленное данным пакетом.;Нет;Исправлено статически;Uninstall ищет install-state и восстанавливает предыдущие пользовательские переменные.
INSTALL-007;P1;Подтверждено кодом;uninstall.ps1;Профили удаляются по умолчанию без резервной копии.;scripts/uninstall.ps1:15-18;Потеря пользовательского профиля.;KeepProfiles=true по умолчанию или обязательный backup/confirmation.;Нет;Исправлено статически;"Профили по умолчанию сохраняются; при -RemoveProfiles сначала создаётся резервная копия."
TEST-001;P1;Подтверждено кодом;Tests;Smoke suite содержит только happy-path проверки и не является test framework.;tests/NxEskd.SmokeTests/Program.cs;Критические сценарии dry-run/rollback/ownership не защищены.;"Добавить xUnit Core/Contracts/Orchestration; smoke оставить package gate.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
TEST-002;P1;Подтверждено документацией;Tests;Заявленное покрытие шире фактических smoke tests.;"README.md; SOURCE_VALIDATION.md; Program.cs";Ложное чувство готовности.;"Матрица requirement→test; CI publish TRX/coverage.";Нет;Частично исправлено;Smoke suite расширен dry-run, IPC и backup-проверками, но заявленное покрытие всех подсистем всё ещё отсутствует.
TEST-003;P1;Требует проверки в NX 2512;Integration tests;Нет выполняемого NX 2512 integration harness и эталонных деталей.;tests/;Невозможно подтвердить builders, PMI, rollback, PartsList и Flat Pattern.;Создать station-runner с копиями fixtures и before/after inventory.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
DOC-001;P1;Подтверждено документацией;Documentation;README утверждает полную идемпотентность/безопасность шире фактического кода.;"README.md; SAFE-001..013";Промышленный пользователь полагается на неподтверждённые гарантии.;Добавить capability/status matrix: Implemented/Partial/Planned/NX-verified.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
DOC-002;P2;Подтверждено кодом;Documentation;Не хватает DEVELOPMENT, BUILD, CONFIGURATION/PROFILE_REFERENCE, NX_COMMANDS, TROUBLESHOOTING, TESTING, RELEASE, SECURITY и ADR.;docs/;Высокий порог входа и риск несогласованных решений.;Создать документы после фиксации фактических контрактов, не копировать обещания из README.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
DOC-003;P2;Подтверждено документацией;Templates;Контракт шаблона описан полезно, но нет automated template verifier.;docs/TEMPLATE_CONTRACT.md;Ошибка PRT выявляется в середине генерации.;"Preflight inventory named objects/regions/labels before undo; NX integration fixture.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
PERF-001;P2;Подтверждено кодом;Performance;Reflection lookup повторяется на каждом вызове.;NxReflection.cs;Избыточные metadata scans на больших чертежах.;"Cache; metrics reflection.lookup/cacheHit/invoke.";Нет;Исправлено статически;Reflection metadata кэшируется.
PERF-002;P2;Подтверждено кодом;Performance;Collections многократно полностью перечисляются для каждого managed ID.;NxSheetService/NxViewService/NxValidationService;O(N×M) поиск на больших drawings.;ManagedObjectRegistry строится один раз с dictionaries.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
PERF-003;P2;Подтверждено кодом;Performance;Views/update вызываются несколькими сервисами без общего update budget.;"NxViewService.UpdateAllViews; NxExecutionAdapter.TryUpdate; Export";Лишние регенерации.;Batch mutations, один controlled DoUpdate перед postconditions и один перед save при необходимости.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
PERF-004;P2;Подтверждено кодом;Performance;Профиль повторно загружается для report path.;CommandHost.cs:76-89;Мелкая, но ненужная десериализация и расхождение при изменении файла.;Передавать resolved output path/loaded profile из engine result.;Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
PERF-005;P2;Подтверждено кодом;WPF performance;Полная сериализация JSON на каждое изменение.;MainWindow.xaml.cs:98-106;UI latency и allocations.;"Debounce/virtualization; измерять p50/p95 edit latency и memory.";Нет;Не исправлено;Требуемая целевая реализация в текущем исходном коде отсутствует либо не покрывает заявленный контракт.
